Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Severity),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
A customer can make more then 2 withdrawals/ 24 h,MTFP-67,10066,,Bug,To Do,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,Medium,,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 8:08 PM,12/Jun/23 11:45 PM,13/Jun/23 5:15 PM,,,Create XYZ Bank application,,0,withdrawl,,,"*Preconditions *: customer account and bank account created.
A customer can not make  more then 2 withdrawals in 24h.
*Steps to reproduce*: Open the XYZ Bank app and select customer login section. Login into the account with valid customer and go to the withdraw subsection. Make 3 withdrawals with the amount less then the current balance.
*Expected result* : The customer can' t make more then 2 withdrawals in 24 h and a message is shown: You can not make more then 2 withdrawals in 24 h.
*Actual result*: All the 3 withdrawals succeed.",,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-22,,MTFP-65,,,,,,,12/Jun/23 8:08 PM;712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf;withdrawal successfull.jpg;https://cismaruanamaria.atlassian.net/rest/api/3/attachment/content/10011,,,,,,,,,,MTFP-3,Create the Customer Login section ,,,,,,,0|i000bn:,,Moderate,MTFP Sprint 1,,,,,,,,,,,,,To Do
No message shown when a customer wants to make a 0 value deposit ,MTFP-66,10065,,Bug,To Do,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,Low,,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 7:41 PM,12/Jun/23 10:37 PM,13/Jun/23 12:07 PM,,,Create XYZ Bank application,,0,deposit,,,"*Precondition*: customer account open/ bank account opend
When a customer wants to make a deposit, the amount should be minimum 1 Euro or minimum the equivalent of 1 Euro.
*Steps to reproduce:* open the XYZ Bank app, select the customer login and login into the app with user name. https://www.globalsqa.com/angularJs-protractor/BankingProject/#/listTx 
 Go to the Deposit subsection and enter the value 0 into the amount field, then press the deposit button.
*Expected result* : The deposit can t be done and a message is shown: ""Please fill the amount field with a value that s more then 1.
*Actual result*: You can t make the 0 value deposit, but no message is shown. The Deposit button just can t be enable.",,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-21,,MTFP-62,,,,,,,12/Jun/23 7:40 PM;712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf;deposit 0 .jpg;https://cismaruanamaria.atlassian.net/rest/api/3/attachment/content/10010,,,,,,,,,,MTFP-3,Create the Customer Login section ,,,,,,,0|i000e7:,,Low,MTFP Sprint 1,,,,,,,,,,,,,To Do
Verify if a customer can make more then 2 withdrawals/24 h,MTFP-65,10064,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,Medium,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 2:17 PM,12/Jun/23 11:01 PM,12/Jun/23 11:00 PM,12/Jun/23 8:01 PM,,,,0,,,,A customer can only make 2 withdrawals within 24 h.,,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-67,MTFP-22,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dz:,,,,,,,,,,,,,,,,Done
Verify if a customer can withdrawal an amount that is less then his current balance,MTFP-64,10063,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,Medium,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 2:16 PM,12/Jun/23 11:01 PM,12/Jun/23 11:00 PM,12/Jun/23 7:50 PM,,,,0,,,,"* The Withdrawal section will display the amount to be Withdrawn message after pressing on the Withdrawal section. The customer should enter the amount he wants to withdrawn and if he has the amount into the bank account, the operantion will succede and the message “Transaction successful” will be shown, if not, then the message will be displayed: Transaction Fieled. You can not withdraw amount more then your current balance.",,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-22,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dr:,,,,,,,,,,,,,,,,Done
Verify if a customer can withdrawal a bigger amount then his bank current balance,MTFP-63,10062,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,High,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 2:15 PM,12/Jun/23 10:35 PM,12/Jun/23 11:01 PM,12/Jun/23 10:32 PM,,,,0,,,,"* The Withdrawal section will display the amount to be Withdrawn message after pressing on the Withdrawal section. The customer should enter the amount he wants to withdrawn and if he has the amount into the bank account, the operation will succeed and the message “Transaction successful” will be shown, if not, then the message will be displayed: Transaction Failed. You can not withdraw amount more then your current balance.",,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-22,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dj:,,,,,,,,,,,,,,,,Done
Verify if a customer can make a 0 value deposit,MTFP-62,10061,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,High,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 2:12 PM,12/Jun/23 10:37 PM,12/Jun/23 11:02 PM,12/Jun/23 7:33 PM,,,,0,,,,"* The customer can make a deposit by selecting the Deposit section. A filed will open with the Amount to be deposited name and he can enter there the amount he want to deposit into his own bank account. The amount will be numeric type can be only more then 1 Euro or the equivalent once, no 0 values. After the customer enters the amount he needs to press the Deposit button and a message will be seen : “Deposit Successful”.",,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-66,MTFP-21,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000db:,,,,,,,,,,,,,,,,Done
Verify if a customer can make a deposit with minimum 1 Euro of the equivalent of 1 Euro,MTFP-61,10060,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,Medium,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 2:11 PM,12/Jun/23 10:38 PM,12/Jun/23 11:01 PM,12/Jun/23 7:29 PM,,,,0,,,,* The customer can make a deposit by selecting the Deposit section. A filed will open with the Amount to be deposited name and he can enter there the amount he want to deposit into his own bank account. The amount will be numeric type can be only more then 1 Euro or the equivalent once. After the customer enters the amount he needs to press the Deposit button and a message will be seen : “Deposit Successful”.,,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-21,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000d3:,,,,,,,,,,,,,,,,Done
Check if the customer can go back to the Home menu by pressing the Back button,MTFP-60,10059,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,Medium,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 2:09 PM,12/Jun/23 10:38 PM,12/Jun/23 11:02 PM,12/Jun/23 7:24 PM,,,,0,,,,"A customer has the possibility to go back to the Home menu by pressing the Back button,",,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-16,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cv:,,,,,,,,,,,,,,,,Done
Verify if a customer can reset all his transactions using the Reset button,MTFP-59,10058,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,Medium,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 2:08 PM,12/Jun/23 10:41 PM,12/Jun/23 11:02 PM,12/Jun/23 7:22 PM,,,,0,,,,"A customer has the possibility to reset all those transactions, by pressing the Reset button,",,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-20,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cn:,,,,,,,,,,,,,,,,Done
Check if you can select a date-time from the calendar to show the transactions details,MTFP-58,10057,,Test,Done,MTFP,Manual Testing Final Project,software,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,Medium,Done,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,12/Jun/23 2:07 PM,12/Jun/23 10:41 PM,12/Jun/23 11:02 PM,12/Jun/23 3:32 PM,,,,0,,,,* The customer will have two fields where he can choose the time x to time y that will shown the transactions that were made between that period.,,Cismaru Ana Maria,712020:43b2ecce-d352-4fc6-88a5-2a8374526fbf,,,,,,,,,MTFP-20,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cf:,,,,,,,,,,,,,,,,Done
